127.0.0.1 - - [02/Jun/2013:06:48:17 -0300] "OPTIONS * HTTP/1.0" 200 167 "-" "Apache/2.2.14 (Ubuntu) (internal dummy connection)"
127.0.0.1 - - [02/Jun/2013:06:48:17 -0300] "OPTIONS * HTTP/1.0" 200 167 "-" "Apache/2.2.14 (Ubuntu) (internal dummy connection)"
127.0.0.1 - - [02/Jun/2013:06:48:17 -0300] "OPTIONS * HTTP/1.0" 200 167 "-" "Apache/2.2.14 (Ubuntu) (internal dummy connection)"
180.76.5.150 - - [02/Jun/2013:06:49:39 -0300] "GET /index.php/component/jevents/search.form/2013/02/28/-?Itemid=1 HTTP/1.1" 200 8842 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
190.64.2.162 - - [02/Jun/2013:07:51:40 -0300] "GET /robots.txt HTTP/1.0" 200 718 "-" "agesic-crawler (Enterprise; T3-RG6J9B6XL6A3K; fabricio.alvarez@agesic.gub.uy,sestevez@hg.com.uy,sperez@hg.com.uy,gbartolomeo@at.com.uy,xavier.verdino@pyxisportal.com,alertasnoc@hg.com.uy)"
190.64.2.162 - - [02/Jun/2013:06:51:40 -0300] "GET /index.php/component/jevents/month.calendar/2013/02/28/48?Itemid=1 HTTP/1.0" 200 9471 "-" "agesic-crawler (Enterprise; T3-RG6J9B6XL6A3K; fabricio.alvarez@agesic.gub.uy,sestevez@hg.com.uy,sperez@hg.com.uy,gbartolomeo@at.com.uy,xavier.verdino@pyxisportal.com,alertasnoc@hg.com.uy)"
190.64.2.162 - - [02/Jun/2013:06:51:42 -0300] "GET /robots.txt HTTP/1.0" 200 718 "-" "agesic-crawler (Enterprise; T3-RG6J9B6XL6A3K; fabricio.alvarez@agesic.gub.uy,sestevez@hg.com.uy,sperez@hg.com.uy,gbartolomeo@at.com.uy,xavier.verdino@pyxisportal.com,alertasnoc@hg.com.uy)"
190.64.2.162 - - [02/Jun/2013:06:51:42 -0300] "GET /index.php/component/jevents/month.calendar/2013/03/03/48?Itemid=1 HTTP/1.0" 200 9518 "-" "agesic-crawler (Enterprise; T3-RG6J9B6XL6A3K; fabricio.alvarez@agesic.gub.uy,sestevez@hg.com.uy,sperez@hg.com.uy,gbartolomeo@at.com.uy,xavier.verdino@pyxisportal.com,alertasnoc@hg.com.uy)"
190.64.2.162 - - [02/Jun/2013:06:51:44 -0300] "GET /robots.txt HTTP/1.0" 200 718 "-" "agesic-crawler (Enterprise; T3-RG6J9B6XL6A3K; fabricio.alvarez@agesic.gub.uy,sestevez@hg.com.uy,sperez@hg.com.uy,gbartolomeo@at.com.uy,xavier.verdino@pyxisportal.com,alertasnoc@hg.com.uy)"
190.64.2.162 - - [02/Jun/2013:06:51:44 -0300] "GET /index.php/component/jevents/month.calendar/2013/04/16/48?Itemid=1 HTTP/1.0" 200 9476 "-" "agesic-crawler (Enterprise; T3-RG6J9B6XL6A3K; fabricio.alvarez@agesic.gub.uy,sestevez@hg.com.uy,sperez@hg.com.uy,gbartolomeo@at.com.uy,xavier.verdino@pyxisportal.com,alertasnoc@hg.com.uy)"
190.64.2.162 - - [02/Jun/2013:06:51:48 -0300] "GET /robots.txt HTTP/1.0" 200 718 "-" "agesic-crawler (Enterprise; T3-RG6J9B6XL6A3K; fabricio.alvarez@agesic.gub.uy,sestevez@hg.com.uy,sperez@hg.com.uy,gbartolomeo@at.com.uy,xavier.verdino@pyxisportal.com,alertasnoc@hg.com.uy)"
190.64.2.162 - - [02/Jun/2013:06:51:48 -0300] "GET /index.php/component/jevents/month.calendar/2013/05/10/48?Itemid=1 HTTP/1.0" 200 9490 "-" "agesic-crawler (Enterprise; T3-RG6J9B6XL6A3K; fabricio.alvarez@agesic.gub.uy,sestevez@hg.com.uy,sperez@hg.com.uy,gbartolomeo@at.com.uy,xavier.verdino@pyxisportal.com,alertasnoc@hg.com.uy)"
190.64.2.162 - - [02/Jun/2013:06:51:50 -0300] "GET /robots.txt HTTP/1.0" 200 718 "-" "agesic-crawler (Enterprise; T3-RG6J9B6XL6A3K; fabricio.alvarez@agesic.gub.uy,sestevez@hg.com.uy,sperez@hg.com.uy,gbartolomeo@at.com.uy,xavier.verdino@pyxisportal.com,alertasnoc@hg.com.uy)"
190.64.2.162 - - [02/Jun/2013:06:51:50 -0300] "GET /index.php/component/jevents/month.calendar/2013/02/25/48?Itemid=1 HTTP/1.0" 200 9473 "-" "agesic-crawler (Enterprise; T3-RG6J9B6XL6A3K; fabricio.alvarez@agesic.gub.uy,sestevez@hg.com.uy,sperez@hg.com.uy,gbartolomeo@at.com.uy,xavier.verdino@pyxisportal.com,alertasnoc@hg.com.uy)"
